strategy,t_in,ficha,reason,net_067lot_clp
S6-K2P0,2026-01-05T23:00:00,F1,EXIT_INITSL,499454.18
S6-K2P0,2026-01-05T23:00:00,F2,EXIT_INITSL,499454.18
S6-K2P0,2026-01-05T23:00:00,F3,EXIT_INITSL,499454.18
S6-K2P0,2026-01-06T22:15:00,F1,EXIT_INITSL,-321256.96
S6-K2P0,2026-01-06T22:15:00,F2,EXIT_INITSL,-321256.96
S6-K2P0,2026-01-06T22:15:00,F3,EXIT_INITSL,-321256.96
S6-K2P0,2026-01-07T01:00:00,F1,EXIT_INITSL,996398.54
S6-K2P0,2026-01-07T01:00:00,F2,EXIT_INITSL,996398.54
S6-K2P0,2026-01-07T01:00:00,F3,EXIT_INITSL,996398.54
S6-K2P0,2026-01-07T03:30:00,F1,EXIT_INITSL,-149334.29
S6-K2P0,2026-01-07T03:30:00,F2,EXIT_INITSL,-149334.29
S6-K2P0,2026-01-07T03:30:00,F3,EXIT_INITSL,-149334.29
S6-K2P0,2026-01-09T00:15:00,F1,EXIT_INITSL,-357021.89
S6-K2P0,2026-01-09T00:15:00,F2,EXIT_INITSL,-357021.89
S6-K2P0,2026-01-09T00:15:00,F3,EXIT_INITSL,-357021.89
S6-K2P0,2026-01-12T02:30:00,F1,EXIT_INITSL,797495.31
S6-K2P0,2026-01-12T02:30:00,F2,EXIT_INITSL,797495.31
S6-K2P0,2026-01-12T02:30:00,F3,EXIT_INITSL,797495.31
S6-K2P0,2026-01-12T21:00:00,F1,EXIT_INITSL,-1141340.65
S6-K2P0,2026-01-12T21:00:00,F2,EXIT_INITSL,-1141340.65
S6-K2P0,2026-01-12T21:00:00,F3,EXIT_INITSL,-1141340.65
S6-K2P0,2026-01-12T22:30:00,F1,EXIT_INITSL,-803142.4
S6-K2P0,2026-01-12T22:30:00,F2,EXIT_INITSL,-803142.4
S6-K2P0,2026-01-12T22:30:00,F3,EXIT_INITSL,-803142.4
S6-K2P0,2026-01-13T02:30:00,F1,EXIT_INITSL,-892868.47
S6-K2P0,2026-01-13T02:30:00,F2,EXIT_INITSL,-892868.47
S6-K2P0,2026-01-13T02:30:00,F3,EXIT_INITSL,-892868.47
S6-K2P0,2026-01-13T20:15:00,F1,EXIT_INITSL,1867306.08
S6-K2P0,2026-01-13T20:15:00,F2,EXIT_INITSL,1867306.08
S6-K2P0,2026-01-13T20:15:00,F3,EXIT_INITSL,1867306.08
S6-K2P0,2026-01-15T00:15:00,F1,EXIT_INITSL,-548395.67
S6-K2P0,2026-01-15T00:15:00,F2,EXIT_INITSL,-548395.67
S6-K2P0,2026-01-15T00:15:00,F3,EXIT_INITSL,-548395.67
S6-K2P0,2026-01-15T23:45:00,F1,EXIT_INITSL,-412865.39
S6-K2P0,2026-01-15T23:45:00,F2,EXIT_INITSL,-412865.39
S6-K2P0,2026-01-15T23:45:00,F3,EXIT_INITSL,-412865.39
S6-K2P0,2026-01-16T03:45:00,F1,EXIT_INITSL,-704004.51
S6-K2P0,2026-01-16T03:45:00,F2,EXIT_INITSL,-704004.51
S6-K2P0,2026-01-16T03:45:00,F3,EXIT_INITSL,-704004.51
S6-K2P0,2026-01-16T18:00:00,F1,EXIT_INITSL,-31372.75
S6-K2P0,2026-01-16T18:00:00,F2,EXIT_INITSL,-31372.75
S6-K2P0,2026-01-16T18:00:00,F3,EXIT_INITSL,-31372.75
S6-K2P0,2026-01-19T00:15:00,F1,EXIT_INITSL,-359531.72
S6-K2P0,2026-01-19T00:15:00,F2,EXIT_INITSL,-359531.72
S6-K2P0,2026-01-19T00:15:00,F3,EXIT_INITSL,-359531.72
S6-K2P0,2026-01-19T22:15:00,F1,EXIT_INITSL,3306060.39
S6-K2P0,2026-01-19T22:15:00,F2,EXIT_INITSL,3306060.39
S6-K2P0,2026-01-19T22:15:00,F3,EXIT_INITSL,3306060.39
