side,ficha,reason,t_in,t_out,entry_fill,exit_fill,spread,entry_delay_bars,net_067lot_clp,month
SHORT,F1,EXIT_STLINE,2026-01-01T23:30:00,2026-01-01T23:30:03.104000,4347.59,4348.63,0.5,0,-65255.32,2026-01
LONG,F1,EXIT_STLINE,2026-01-01T23:45:00,2026-01-02T10:25:02.976000,4351.88,4378.57,0.5,0,1674677.39,2026-01
LONG,F1,EXIT_STLINE,2026-01-05T21:45:00,2026-01-05T22:02:39.398000,4436.85,4432.7,0.5,0,-260393.83,2026-01
LONG,F1,EXIT_STLINE,2026-01-05T22:15:00,2026-01-05T22:33:27.164000,4442.17,4432.97,0.5,0,-577258.6,2026-01
LONG,F1,EXIT_STLINE,2026-01-05T22:45:00,2026-01-06T06:47:11.237000,4439.51,4448.58,0.5,0,569101.68,2026-01
SHORT,F1,EXIT_STLINE,2026-01-06T22:15:00,2026-01-07T05:36:57.631000,4470.81,4470.0,0.5,0,50823.86,2026-01
LONG,F1,EXIT_STLINE,2026-01-07T22:15:00,2026-01-07T22:44:15.288000,4457.49,4446.41,0.5,0,-695220.14,2026-01
LONG,F1,EXIT_STLINE,2026-01-07T22:45:00,2026-01-07T22:45:24.548000,4447.85,4445.83,0.5,0,-126745.91,2026-01
LONG,F1,EXIT_STLINE,2026-01-07T23:00:00,2026-01-07T23:00:30.874000,4448.78,4446.44,0.5,0,-146824.47,2026-01
SHORT,F1,EXIT_STLINE,2026-01-07T23:15:00,2026-01-08T11:47:46.787000,4446.2,4436.88,0.5,0,584788.06,2026-01
LONG,F1,EXIT_STLINE,2026-01-08T22:15:00,2026-01-08T22:16:50.839000,4459.58,4458.04,0.5,0,-96628.07,2026-01
SHORT,F1,EXIT_STLINE,2026-01-08T22:30:00,2026-01-09T09:00:48.476000,4457.22,4478.54,0.5,0,-1337734.06,2026-01
LONG,F1,EXIT_STLINE,2026-01-13T22:15:00,2026-01-14T11:39:56.576000,4615.8,4617.77,0.5,0,123608.64,2026-01
LONG,F1,EXIT_STLINE,2026-01-14T20:15:00,2026-01-14T20:18:14.274000,4617.17,4612.46,0.5,0,-295531.31,2026-01
SHORT,F1,EXIT_STLINE,2026-01-14T20:30:00,2026-01-15T07:24:35.687000,4608.98,4615.81,0.5,0,-428551.77,2026-01
LONG,F1,EXIT_STLINE,2026-01-15T22:00:00,2026-01-15T22:00:00.992000,4600.43,4598.49,0.5,0,-121726.27,2026-01
LONG,F1,EXIT_STLINE,2026-01-15T22:15:00,2026-01-15T23:00:25.509000,4604.14,4598.94,0.5,0,-326276.6,2026-01
SHORT,F1,EXIT_STLINE,2026-01-15T23:15:00,2026-01-16T02:51:16.272000,4597.75,4613.64,0.5,0,-997026.0,2026-01
SHORT,F1,EXIT_STLINE,2026-01-16T03:00:00,2026-01-16T08:34:09.848000,4611.37,4613.63,0.5,0,-141804.83,2026-01
SHORT,F1,EXIT_STLINE,2026-01-19T21:30:00,2026-01-20T00:40:07.576000,4659.49,4677.52,0.5,0,-1131301.37,2026-01
SHORT,F1,EXIT_STLINE,2026-01-20T00:45:00,2026-01-20T00:45:00.092000,4676.69,4677.19,0.5,0,-31372.75,2026-01
LONG,F1,EXIT_STLINE,2026-01-20T01:00:00,2026-01-21T04:00:03.578000,4680.53,4843.57,0.5,0,10230026.32,2026-01
SHORT,F1,EXIT_STLINE,2026-01-21T21:00:00,2026-01-22T03:25:32.619000,4778.13,4829.27,0.5,0,-3208804.87,2026-01
SHORT,F1,EXIT_STLINE,2026-01-22T03:30:00,2026-01-22T04:02:12.020000,4825.41,4829.45,0.5,0,-253491.82,2026-01
LONG,F1,EXIT_STLINE,2026-01-26T22:15:00,2026-01-27T11:05:41.798000,5072.01,5061.68,0.5,0,-648161.01,2026-01
