side,ficha,reason,t_in,t_out,entry_fill,exit_fill,spread,entry_delay_bars,net_067lot_clp,month
LONG,F1,EXIT_SL_RAISED,2026-01-05T23:00:00,2026-01-06T02:47:08.615000,4450.98,4458.94,0.5,0,499454.18,2026-01
LONG,F2,EXIT_SL_RAISED,2026-01-05T23:00:00,2026-01-06T02:47:08.615000,4450.98,4458.94,0.5,0,499454.18,2026-01
LONG,F3,EXIT_SL_RAISED,2026-01-05T23:00:00,2026-01-06T02:47:08.615000,4450.98,4458.94,0.5,0,499454.18,2026-01
SHORT,F1,EXIT_SL_RAISED,2026-01-06T22:15:00,2026-01-06T23:31:30.856000,4470.81,4475.93,0.5,0,-321256.96,2026-01
SHORT,F2,EXIT_SL_RAISED,2026-01-06T22:15:00,2026-01-06T23:31:30.856000,4470.81,4475.93,0.5,0,-321256.96,2026-01
SHORT,F3,EXIT_SL_RAISED,2026-01-06T22:15:00,2026-01-06T23:31:30.856000,4470.81,4475.93,0.5,0,-321256.96,2026-01
SHORT,F1,EXIT_SL_RAISED,2026-01-07T01:00:00,2026-01-07T03:09:02.790000,4474.48,4458.6,0.5,0,996398.54,2026-01
SHORT,F2,EXIT_SL_RAISED,2026-01-07T01:00:00,2026-01-07T03:09:02.790000,4474.48,4458.6,0.5,0,996398.54,2026-01
SHORT,F3,EXIT_SL_RAISED,2026-01-07T01:00:00,2026-01-07T03:09:02.790000,4474.48,4458.6,0.5,0,996398.54,2026-01
SHORT,F1,EXIT_SL_RAISED,2026-01-07T03:30:00,2026-01-07T04:36:31.353000,4454.87,4457.25,0.5,0,-149334.29,2026-01
SHORT,F2,EXIT_SL_RAISED,2026-01-07T03:30:00,2026-01-07T04:36:31.353000,4454.87,4457.25,0.5,0,-149334.29,2026-01
SHORT,F3,EXIT_SL_RAISED,2026-01-07T03:30:00,2026-01-07T04:36:31.353000,4454.87,4457.25,0.5,0,-149334.29,2026-01
LONG,F1,reverse,2026-01-08T03:45:00,2026-01-08T05:15:00,4435.97,4425.63,0.5,0,-648788.47,2026-01
LONG,F2,reverse,2026-01-08T03:45:00,2026-01-08T05:15:00,4435.97,4425.63,0.5,0,-648788.47,2026-01
LONG,F3,reverse,2026-01-08T03:45:00,2026-01-08T05:15:00,4435.97,4425.63,0.5,0,-648788.47,2026-01
SHORT,F1,EXIT_SL_RAISED,2026-01-09T00:15:00,2026-01-09T02:32:17.276000,4464.05,4469.74,0.5,0,-357021.89,2026-01
SHORT,F2,EXIT_SL_RAISED,2026-01-09T00:15:00,2026-01-09T02:32:17.276000,4464.05,4469.74,0.5,0,-357021.89,2026-01
SHORT,F3,EXIT_SL_RAISED,2026-01-09T00:15:00,2026-01-09T02:32:17.276000,4464.05,4469.74,0.5,0,-357021.89,2026-01
LONG,F1,EXIT_SL_RAISED,2026-01-12T02:30:00,2026-01-12T08:25:50.922000,4572.6,4585.31,0.5,0,797495.31,2026-01
LONG,F2,EXIT_SL_RAISED,2026-01-12T02:30:00,2026-01-12T08:25:50.922000,4572.6,4585.31,0.5,0,797495.31,2026-01
LONG,F3,EXIT_SL_RAISED,2026-01-12T02:30:00,2026-01-12T08:25:50.922000,4572.6,4585.31,0.5,0,797495.31,2026-01
LONG,F1,EXIT_SL_RAISED,2026-01-12T21:00:00,2026-01-12T22:04:38.209000,4599.68,4581.49,0.5,0,-1141340.65,2026-01
LONG,F2,EXIT_SL_RAISED,2026-01-12T21:00:00,2026-01-12T22:04:38.209000,4599.68,4581.49,0.5,0,-1141340.65,2026-01
LONG,F3,EXIT_SL_RAISED,2026-01-12T21:00:00,2026-01-12T22:04:38.209000,4599.68,4581.49,0.5,0,-1141340.65,2026-01
SHORT,F1,EXIT_SL_RAISED,2026-01-12T22:30:00,2026-01-12T23:46:53.248000,4581.59,4594.39,0.5,0,-803142.4,2026-01
SHORT,F2,EXIT_SL_RAISED,2026-01-12T22:30:00,2026-01-12T23:46:53.248000,4581.59,4594.39,0.5,0,-803142.4,2026-01
SHORT,F3,EXIT_SL_RAISED,2026-01-12T22:30:00,2026-01-12T23:46:53.248000,4581.59,4594.39,0.5,0,-803142.4,2026-01
LONG,F1,EXIT_SL_RAISED,2026-01-13T02:30:00,2026-01-13T03:16:01.686000,4601.68,4587.45,0.5,0,-892868.47,2026-01
LONG,F2,EXIT_SL_RAISED,2026-01-13T02:30:00,2026-01-13T03:16:01.686000,4601.68,4587.45,0.5,0,-892868.47,2026-01
LONG,F3,EXIT_SL_RAISED,2026-01-13T02:30:00,2026-01-13T03:16:01.686000,4601.68,4587.45,0.5,0,-892868.47,2026-01
LONG,F1,EXIT_SL_RAISED,2026-01-13T20:15:00,2026-01-14T02:56:14.798000,4596.26,4626.02,0.5,0,1867306.08,2026-01
LONG,F2,EXIT_SL_RAISED,2026-01-13T20:15:00,2026-01-14T02:56:14.798000,4596.26,4626.02,0.5,0,1867306.08,2026-01
LONG,F3,EXIT_SL_RAISED,2026-01-13T20:15:00,2026-01-14T02:56:14.798000,4596.26,4626.02,0.5,0,1867306.08,2026-01
SHORT,F1,EXIT_SL_RAISED,2026-01-15T00:15:00,2026-01-15T03:01:59.284000,4591.28,4600.02,0.5,0,-548395.67,2026-01
SHORT,F2,EXIT_SL_RAISED,2026-01-15T00:15:00,2026-01-15T03:01:59.284000,4591.28,4600.02,0.5,0,-548395.67,2026-01
SHORT,F3,EXIT_SL_RAISED,2026-01-15T00:15:00,2026-01-15T03:01:59.284000,4591.28,4600.02,0.5,0,-548395.67,2026-01
LONG,F1,reverse,2026-01-15T03:15:00,2026-01-15T05:00:00,4605.76,4601.56,0.5,0,-263531.1,2026-01
LONG,F2,reverse,2026-01-15T03:15:00,2026-01-15T05:00:00,4605.76,4601.56,0.5,0,-263531.1,2026-01
LONG,F3,reverse,2026-01-15T03:15:00,2026-01-15T05:00:00,4605.76,4601.56,0.5,0,-263531.1,2026-01
SHORT,F1,EXIT_SL_RAISED,2026-01-15T23:45:00,2026-01-16T02:30:47.638000,4595.75,4602.33,0.5,0,-412865.39,2026-01
