side,ficha,reason,t_in,t_out,entry_fill,exit_fill,spread,entry_delay_bars,net_067lot_clp,month
LONG,F1,EXIT_TRAIL,2026-01-05T23:00:00,2026-01-06T02:45:00,4450.98,4463.29,0.5,0,772397.11,2026-01
LONG,F2,EXIT_TRAIL,2026-01-05T23:00:00,2026-01-06T02:45:00,4450.98,4463.29,0.5,0,772397.11,2026-01
LONG,F3,EXIT_TRAIL,2026-01-05T23:00:00,2026-01-06T02:45:00,4450.98,4463.29,0.5,0,772397.11,2026-01
SHORT,F1,EXIT_SL_RAISED,2026-01-06T22:15:00,2026-01-06T23:10:34.044000,4470.81,4472.88,0.5,0,-129883.18,2026-01
SHORT,F2,EXIT_SL_RAISED,2026-01-06T22:15:00,2026-01-06T23:10:34.044000,4470.81,4472.88,0.5,0,-129883.18,2026-01
SHORT,F3,EXIT_SL_RAISED,2026-01-06T22:15:00,2026-01-06T23:10:34.044000,4470.81,4472.88,0.5,0,-129883.18,2026-01
SHORT,F1,EXIT_SL_RAISED,2026-01-07T01:00:00,2026-01-07T03:00:00.079000,4474.48,4454.76,0.5,0,1237341.26,2026-01
SHORT,F2,EXIT_SL_RAISED,2026-01-07T01:00:00,2026-01-07T03:00:00.079000,4474.48,4454.76,0.5,0,1237341.26,2026-01
SHORT,F3,EXIT_SL_RAISED,2026-01-07T01:00:00,2026-01-07T03:00:00.079000,4474.48,4454.76,0.5,0,1237341.26,2026-01
SHORT,F1,EXIT_SL_RAISED,2026-01-07T03:30:00,2026-01-07T04:21:36.126000,4454.87,4453.35,0.5,0,95373.16,2026-01
SHORT,F2,EXIT_SL_RAISED,2026-01-07T03:30:00,2026-01-07T04:21:36.126000,4454.87,4453.35,0.5,0,95373.16,2026-01
SHORT,F3,EXIT_SL_RAISED,2026-01-07T03:30:00,2026-01-07T04:21:36.126000,4454.87,4453.35,0.5,0,95373.16,2026-01
LONG,F1,EXIT_SL_RAISED,2026-01-08T03:45:00,2026-01-08T05:01:15.971000,4435.97,4428.42,0.5,0,-473728.53,2026-01
LONG,F2,EXIT_SL_RAISED,2026-01-08T03:45:00,2026-01-08T05:01:15.971000,4435.97,4428.42,0.5,0,-473728.53,2026-01
LONG,F3,EXIT_SL_RAISED,2026-01-08T03:45:00,2026-01-08T05:01:15.971000,4435.97,4428.42,0.5,0,-473728.53,2026-01
SHORT,F1,EXIT_SL_RAISED,2026-01-09T00:15:00,2026-01-09T02:30:01.590000,4464.05,4467.03,0.5,0,-186981.59,2026-01
SHORT,F2,EXIT_SL_RAISED,2026-01-09T00:15:00,2026-01-09T02:30:01.590000,4464.05,4467.03,0.5,0,-186981.59,2026-01
SHORT,F3,EXIT_SL_RAISED,2026-01-09T00:15:00,2026-01-09T02:30:01.590000,4464.05,4467.03,0.5,0,-186981.59,2026-01
LONG,F1,EXIT_SL_RAISED,2026-01-12T02:30:00,2026-01-12T03:11:47.776000,4572.6,4572.1,0.5,0,-31372.75,2026-01
LONG,F2,EXIT_SL_RAISED,2026-01-12T02:30:00,2026-01-12T03:11:47.776000,4572.6,4572.1,0.5,0,-31372.75,2026-01
LONG,F3,EXIT_SL_RAISED,2026-01-12T02:30:00,2026-01-12T03:11:47.776000,4572.6,4572.1,0.5,0,-31372.75,2026-01
LONG,F1,EXIT_SL_RAISED,2026-01-12T21:00:00,2026-01-12T21:37:51.897000,4599.68,4585.48,0.5,0,-890986.1,2026-01
LONG,F2,EXIT_SL_RAISED,2026-01-12T21:00:00,2026-01-12T21:37:51.897000,4599.68,4585.48,0.5,0,-890986.1,2026-01
LONG,F3,EXIT_SL_RAISED,2026-01-12T21:00:00,2026-01-12T21:37:51.897000,4599.68,4585.48,0.5,0,-890986.1,2026-01
SHORT,F1,EXIT_SL_RAISED,2026-01-12T22:30:00,2026-01-12T23:07:36.817000,4581.59,4589.92,0.5,0,-522670.01,2026-01
SHORT,F2,EXIT_SL_RAISED,2026-01-12T22:30:00,2026-01-12T23:07:36.817000,4581.59,4589.92,0.5,0,-522670.01,2026-01
SHORT,F3,EXIT_SL_RAISED,2026-01-12T22:30:00,2026-01-12T23:07:36.817000,4581.59,4589.92,0.5,0,-522670.01,2026-01
LONG,F1,EXIT_SL_RAISED,2026-01-13T02:30:00,2026-01-13T03:00:17.240000,4601.68,4590.83,0.5,0,-680788.68,2026-01
LONG,F2,EXIT_SL_RAISED,2026-01-13T02:30:00,2026-01-13T03:00:17.240000,4601.68,4590.83,0.5,0,-680788.68,2026-01
LONG,F3,EXIT_SL_RAISED,2026-01-13T02:30:00,2026-01-13T03:00:17.240000,4601.68,4590.83,0.5,0,-680788.68,2026-01
LONG,F1,EXIT_SL_RAISED,2026-01-13T20:15:00,2026-01-14T02:56:00.202000,4596.26,4629.61,0.5,0,2092562.42,2026-01
LONG,F2,EXIT_SL_RAISED,2026-01-13T20:15:00,2026-01-14T02:56:00.202000,4596.26,4629.61,0.5,0,2092562.42,2026-01
LONG,F3,EXIT_SL_RAISED,2026-01-13T20:15:00,2026-01-14T02:56:00.202000,4596.26,4629.61,0.5,0,2092562.42,2026-01
SHORT,F1,EXIT_SL_RAISED,2026-01-14T20:15:00,2026-01-14T21:04:20.505000,4616.67,4617.19,0.5,0,-32627.66,2026-01
SHORT,F2,EXIT_SL_RAISED,2026-01-14T20:15:00,2026-01-14T21:04:20.505000,4616.67,4617.19,0.5,0,-32627.66,2026-01
