utc_datetime,label
2026-01-02T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2026-02-06T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2026-03-06T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2026-04-03T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2026-05-01T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2026-06-05T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2026-07-03T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2026-08-07T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2026-09-04T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2026-10-02T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2026-11-06T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2026-12-04T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2027-01-01T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2027-02-05T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2027-03-05T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2027-04-02T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2027-05-07T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2027-06-04T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2027-07-02T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2027-08-06T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2027-09-03T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2027-10-01T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2027-11-05T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2027-12-03T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2028-01-07T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2028-02-04T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2028-03-03T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2028-04-07T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2028-05-05T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2028-06-02T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2028-07-07T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2028-08-04T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2028-09-01T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2028-10-06T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2028-11-03T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
2028-12-01T12:30:00Z,US Non-Farm Payrolls (first-Friday rule, 08:30 ET)
