mult1.50	458	23527689.50	4.125
mult1.75	354	-3262766.00	0.579
mult2.00	309	23783354.00	0.578
mult2.25	259	53818782.00	0.422
mult2.50	208	64697166.00	0.468
mult2.75	168	57361561.50	0.422
default	153	61425035.00	0.485
mult3.25	151	46094530.00	0.375
mult3.50	132	56765011.00	0.343
mult3.75	137	32070442.50	0.344
mult4.00	121	41943962.00	0.313
mult4.25	96	11778360.50	0.359
mult4.50	86	9822948.50	0.359
mult4.75	77	67528205.50	0.360
mult5.00	65	-7447984.50	0.312
mult5.50	58	-23953797.00	0.344
mult6.00	52	38549149.50	0.312
