R1,arm,band,entry_bid,entry_delay_bars,entry_fill,exit_bid,exit_fill,ficha,level_slip,margin1,net1,net1_con_coste,pos_id,reason,same_bar,sid,side,side_l,spread,t_exit,t_in,t_in_exec,t_out
4455398.749999898,relief1.00-u0,0.5,4450.43,0,4450.98,4460.264055972061,4458.94,F1,True,4168342.7699999996,745454.0000000034,724382.7500000034,S6-K2P0|F1|1767653100|LONG,EXIT_SL_RAISED,False,S6-K2P0,LONG,L,0.5,1767667628.615,1767653100,1767654000.0,1767667500
4455398.749999898,relief1.00-u0,0.5,4450.43,0,4450.98,4460.264055972061,4458.94,F2,True,4168342.7699999996,745454.0000000034,724382.7500000034,S6-K2P0|F2|1767653100|LONG,EXIT_SL_RAISED,False,S6-K2P0,LONG,L,0.5,1767667628.615,1767653100,1767654000.0,1767667500
4455398.749999898,relief1.00-u0,0.5,4450.43,0,4450.98,4460.264055972061,4458.94,F3,True,4168342.7699999996,745454.0000000034,724382.7500000034,S6-K2P0|F3|1767653100|LONG,EXIT_SL_RAISED,False,S6-K2P0,LONG,L,0.5,1767667628.615,1767653100,1767654000.0,1767667500
8483753.500000013,relief1.00-u0,0.5,4470.76,0,4470.81,4475.9206584781505,4475.93,F1,True,4186913.5650000004,-479487.99999998976,-500559.24999998976,S6-K2P0|F1|1767736800|SHORT,EXIT_SL_RAISED,False,S6-K2P0,SHORT,S,0.5,1767742290.856,1767736800,1767737700.0,1767742200
8483753.500000013,relief1.00-u0,0.5,4470.76,0,4470.81,4475.9206584781505,4475.93,F2,True,4186913.5650000004,-479487.99999998976,-500559.24999998976,S6-K2P0|F2|1767736800|SHORT,EXIT_SL_RAISED,False,S6-K2P0,SHORT,S,0.5,1767742290.856,1767736800,1767737700.0,1767742200
8483753.500000013,relief1.00-u0,0.5,4470.76,0,4470.81,4475.9206584781505,4475.93,F3,True,4186913.5650000004,-479487.99999998976,-500559.24999998976,S6-K2P0|F3|1767736800|SHORT,EXIT_SL_RAISED,False,S6-K2P0,SHORT,S,0.5,1767742290.856,1767736800,1767737700.0,1767742200
1503550.7500001977,relief1.00-u0,0.5,4474.68,0,4474.48,4458.543331583283,4458.6,F1,True,4190350.5199999996,1487161.999999925,1466090.749999925,S6-K2P0|F1|1767746700|SHORT,EXIT_SL_RAISED,False,S6-K2P0,SHORT,S,0.5,1767755342.79,1767746700,1767747600.0,1767754800
1503550.7500001977,relief1.00-u0,0.5,4474.68,0,4474.48,4458.543331583283,4458.6,F2,True,4190350.5199999996,1487161.999999925,1466090.749999925,S6-K2P0|F2|1767746700|SHORT,EXIT_SL_RAISED,False,S6-K2P0,SHORT,S,0.5,1767755342.79,1767746700,1767747600.0,1767754800
1503550.7500001977,relief1.00-u0,0.5,4474.68,0,4474.48,4458.543331583283,4458.6,F3,True,4190350.5199999996,1487161.999999925,1466090.749999925,S6-K2P0|F3|1767746700|SHORT,EXIT_SL_RAISED,False,S6-K2P0,SHORT,S,0.5,1767755342.79,1767746700,1767747600.0,1767754800
2376837.0000000102,relief1.00-u0,0.5,4454.86,0,4454.87,4457.241646448888,4457.25,F1,True,4171985.755,-222887.00000001022,-243958.25000001022,S6-K2P0|F1|1767755700|SHORT,EXIT_SL_RAISED,False,S6-K2P0,SHORT,S,0.5,1767760591.353,1767755700,1767756600.0,1767760200
