t_pedido,t_pedido_iso,t_devuelto,t_devuelto_iso,delta_s,evaluable,clasificacion_si_gt_60s
1785110400.0,2026-07-27T00:00:00,1785110400.12,2026-07-27T00:00:00.120000,0.11999988555908203,True,
1785111300.0,2026-07-27T00:15:00,1785111300.057,2026-07-27T00:15:00.057000,0.056999921798706055,True,
1785112200.0,2026-07-27T00:30:00,1785112200.032,2026-07-27T00:30:00.032000,0.032000064849853516,True,
1785113100.0,2026-07-27T00:45:00,1785113100.232,2026-07-27T00:45:00.232000,0.23200011253356934,True,
1785114000.0,2026-07-27T01:00:00,1785114000.126,2026-07-27T01:00:00.126000,0.12599992752075195,True,
1785114900.0,2026-07-27T01:15:00,1785114900.397,2026-07-27T01:15:00.397000,0.3970000743865967,True,
1785115800.0,2026-07-27T01:30:00,1785115800.007,2026-07-27T01:30:00.007000,0.006999969482421875,True,
1785116700.0,2026-07-27T01:45:00,1785116700.213,2026-07-27T01:45:00.213000,0.21300005912780762,True,
1785117600.0,2026-07-27T02:00:00,1785117600.156,2026-07-27T02:00:00.156000,0.15599989891052246,True,
1785118500.0,2026-07-27T02:15:00,1785118500.211,2026-07-27T02:15:00.211000,0.2109999656677246,True,
1785119400.0,2026-07-27T02:30:00,1785119400.161,2026-07-27T02:30:00.161000,0.16100001335144043,True,
1785120300.0,2026-07-27T02:45:00,1785120300.217,2026-07-27T02:45:00.217000,0.21700000762939453,True,
1785121200.0,2026-07-27T03:00:00,1785121200.032,2026-07-27T03:00:00.032000,0.032000064849853516,True,
1785122100.0,2026-07-27T03:15:00,1785122100.026,2026-07-27T03:15:00.026000,0.026000022888183594,True,
1785123000.0,2026-07-27T03:30:00,1785123000.115,2026-07-27T03:30:00.115000,0.11500000953674316,True,
1785123900.0,2026-07-27T03:45:00,1785123900.273,2026-07-27T03:45:00.273000,0.27300000190734863,True,
1785124800.0,2026-07-27T04:00:00,1785124800.153,2026-07-27T04:00:00.153000,0.1530001163482666,True,
1785125700.0,2026-07-27T04:15:00,1785125700.166,2026-07-27T04:15:00.166000,0.1659998893737793,True,
1785126600.0,2026-07-27T04:30:00,1785126600.012,2026-07-27T04:30:00.012000,0.012000083923339844,True,
1785127500.0,2026-07-27T04:45:00,1785127500.021,2026-07-27T04:45:00.021000,0.020999908447265625,True,
1785128400.0,2026-07-27T05:00:00,1785128400.181,2026-07-27T05:00:00.181000,0.1809999942779541,True,
1785129300.0,2026-07-27T05:15:00,1785129300.034,2026-07-27T05:15:00.034000,0.03399991989135742,True,
1785130200.0,2026-07-27T05:30:00,1785130200.158,2026-07-27T05:30:00.158000,0.15799999237060547,True,
1785131100.0,2026-07-27T05:45:00,1785131100.072,2026-07-27T05:45:00.072000,0.07200002670288086,True,
1785132000.0,2026-07-27T06:00:00,1785132000.064,2026-07-27T06:00:00.064000,0.06399989128112793,True,
1785132900.0,2026-07-27T06:15:00,1785132900.207,2026-07-27T06:15:00.207000,0.2070000171661377,True,
1785133800.0,2026-07-27T06:30:00,1785133800.12,2026-07-27T06:30:00.120000,0.11999988555908203,True,
1785134700.0,2026-07-27T06:45:00,1785134700.177,2026-07-27T06:45:00.177000,0.1770000457763672,True,
1785135600.0,2026-07-27T07:00:00,1785135600.023,2026-07-27T07:00:00.023000,0.023000001907348633,True,
1785136500.0,2026-07-27T07:15:00,1785136500.166,2026-07-27T07:15:00.166000,0.1659998893737793,True,
1785137400.0,2026-07-27T07:30:00,1785137400.019,2026-07-27T07:30:00.019000,0.01900005340576172,True,
1785138300.0,2026-07-27T07:45:00,1785138300.07,2026-07-27T07:45:00.070000,0.06999993324279785,True,
1785139200.0,2026-07-27T08:00:00,1785139200.029,2026-07-27T08:00:00.029000,0.029000043869018555,True,
1785140100.0,2026-07-27T08:15:00,1785140100.04,2026-07-27T08:15:00.040000,0.039999961853027344,True,
1785141000.0,2026-07-27T08:30:00,1785141000.121,2026-07-27T08:30:00.121000,0.12100005149841309,True,
1785141900.0,2026-07-27T08:45:00,1785141900.056,2026-07-27T08:45:00.056000,0.0559999942779541,True,
1785142800.0,2026-07-27T09:00:00,1785142800.123,2026-07-27T09:00:00.123000,0.12299990653991699,True,
1785143700.0,2026-07-27T09:15:00,1785143700.019,2026-07-27T09:15:00.019000,0.01900005340576172,True,
1785144600.0,2026-07-27T09:30:00,1785144600.047,2026-07-27T09:30:00.047000,0.04699993133544922,True,
1785145500.0,2026-07-27T09:45:00,1785145500.126,2026-07-27T09:45:00.126000,0.12599992752075195,True,
1785146400.0,2026-07-27T10:00:00,1785146400.001,2026-07-27T10:00:00.001000,0.0009999275207519531,True,
1785147300.0,2026-07-27T10:15:00,1785147300.1,2026-07-27T10:15:00.100000,0.09999990463256836,True,
1785148200.0,2026-07-27T10:30:00,1785148200.028,2026-07-27T10:30:00.028000,0.0280001163482666,True,
1785149100.0,2026-07-27T10:45:00,1785149100.15,2026-07-27T10:45:00.150000,0.15000009536743164,True,
1785150000.0,2026-07-27T11:00:00,1785150000.147,2026-07-27T11:00:00.147000,0.14700007438659668,True,
1785150900.0,2026-07-27T11:15:00,1785150900.028,2026-07-27T11:15:00.028000,0.0280001163482666,True,
1785151800.0,2026-07-27T11:30:00,1785151800.0,2026-07-27T11:30:00,0.0,True,
