position_id,strategy_id,side,real_t_open_epoch,real_t_open_servidor,replica_t_open,replica_t_open_servidor,delta_t_open_s,signo,delta_precio_open,real_reason_name,n_campos_coinciden,intervalo_inicio_epoch,intervalo_fin_epoch,n_eventos_intervalo,tipo_dominante_intervalo,primer_evento_no_noop,t_primer_evento_no_noop,n_eventos_ejecutor_intervalo,ejecutor_eventos_conteo_json,real_open_en_blocked_window,replica_open_en_blocked_window,eventos_NOOP,eventos_SPREAD_GATE_SKIP,eventos_OPEN_SKIPPED_SL_CROSSED,eventos_TIME_GATE_SKIP,eventos_MODIFY,eventos_SL_CLAMPED,eventos_OPEN,eventos_CLOSE,eventos_FALLBACK_CLOSE_INVALID_SL
55256241,SuperTrend::SuperTrend-p14x3-M15,BUY,1785696303.0,2026-08-02 18:45:03,1785516907.289947,2026-07-31 16:55:07,-179395.71005296707,REPLICA_TEMPRANO,-11.029999999999744,SL,3.0,1785516907.289947,1785696303.0,11377,OPEN,OPEN,1785516907.289947,1,"{""SENT OPEN"": 1}",False,False,11375,0,0,0,1,0,1,0,0
55267287,SuperTrend::SuperTrend-p14x3-M15,BUY,1785782714.0,2026-08-03 18:45:14,1785706861.2499995,2026-08-02 21:41:01,-75852.75000047684,REPLICA_TEMPRANO,0.3000000000001819,SL,2.0,1785706861.2499995,1785782714.0,4917,SPREAD_GATE_SKIP,SL_CLAMPED,1785706861.2499995,162,"{""ALARM"": 1, ""FALLBACK_CLOSE_INVALID_SL"": 3, ""OPEN_SKIPPED_SL_CROSSED"": 117, ""SENT CLOSE"": 1, ""SENT MODIFY"": 17, ""SENT OPEN"": 11, ""SL_CLAMPED"": 3, ""SL_CLAMPED OPEN"": 9}",False,False,4509,369,23,0,9,2,3,2,0
55218465,SAR::S6-K2P0,BUY,1785290243.0,2026-07-29 01:57:23,1785356807.0,2026-07-29 20:26:47,66564.0,REPLICA_TARDE,-42.5,SL,1.0,1785290243.0,1785356807.0,2695,SPREAD_GATE_SKIP,MODIFY,1785290257.77,27,"{""SENT MODIFY"": 22, ""SENT OPEN"": 3, ""SL_CLAMPED OPEN"": 2}",False,False,1223,1325,1,121,18,1,3,3,0
55218387,SAR::S6-K2P0,SELL,1785289240.0,2026-07-29 01:40:40,1785344341.6199446,2026-07-29 16:59:01,55101.61994457245,REPLICA_TARDE,-35.039999999999964,SL,2.0,1785289240.0,1785344341.6199446,1979,SPREAD_GATE_SKIP,CLOSE,1785289241.624,39,"{""FALLBACK_CLOSE_INVALID_SL"": 1, ""OPEN_SKIPPED_SL_CROSSED"": 16, ""SENT MODIFY"": 17, ""SENT OPEN"": 3, ""SL_CLAMPED OPEN"": 2}",False,False,602,1325,29,0,12,3,4,4,0
55292360,SuperTrend::SuperTrend-p14x3-M15,BUY,1785955505.0,2026-08-05 18:45:05,1785972314.0,2026-08-05 23:25:14,16809.0,REPLICA_TARDE,-15.519999999999529,CLIENT_manual,0.0,1785955505.0,1785972314.0,1076,MODIFY,MODIFY,1785957301.7799978,27,"{""ACTIONS_SUMMARY:SAME_BAR_EXIT_FALLBACK"": 1, ""OPEN_SKIPPED_SL_CROSSED"": 4, ""SAME_BAR_EXIT_FALLBACK"": 1, ""SENT MODIFY"": 9, ""SENT OPEN"": 7, ""SL_CLAMPED OPEN"": 5}",False,False,1067,0,0,0,6,1,1,1,0
55217645,SAR::S6-K2P0,BUY,1785275724.0,2026-07-28 21:55:24,1785289504.0,2026-07-29 01:45:04,13780.0,REPLICA_TARDE,-16.539999999999964,EXPERT,0.0,1785275724.0,1785289504.0,1019,OPEN_SKIPPED_SL_CROSSED,MODIFY,1785275738.77,188,"{""FALLBACK_CLOSE_INVALID_SL"": 1, ""OPEN_SKIPPED_SL_CROSSED"": 125, ""SENT CLOSE"": 1, ""SENT MODIFY"": 21, ""SENT OPEN"": 20, ""SL_CLAMPED"": 5, ""SL_CLAMPED OPEN"": 15}",False,False,848,0,83,0,35,27,13,11,2
55217492,SAR::S6-K2P0,SELL,1785274533.0,2026-07-28 21:35:33,1785283032.77,2026-07-28 23:57:12,8499.769999980927,REPLICA_TARDE,-0.7800000000002001,SL,2.0,1785274533.0,1785283032.77,649,OPEN_SKIPPED_SL_CROSSED,OPEN_SKIPPED_SL_CROSSED,1785274547.77,164,"{""OPEN_SKIPPED_SL_CROSSED"": 129, ""SENT CLOSE"": 1, ""SENT MODIFY"": 9, ""SENT OPEN"": 13, ""SL_CLAMPED OPEN"": 12}",False,False,525,0,91,0,14,8,6,5,0
55333601,SuperTrend::SuperTrend-p14x3-M15,BUY,1786401327.0,2026-08-10 22:35:27,1786409783.0,2026-08-11 00:56:23,8456.0,REPLICA_TARDE,21.420000000000076,SL,2.0,1786401327.0,1786409783.0,544,CLOSE,CLOSE,1786409782.676,13,"{""ACTIONS_SUMMARY:SAME_BAR_EXIT_FALLBACK"": 1, ""OPEN_SKIPPED_SL_CROSSED"": 6, ""SAME_BAR_EXIT_FALLBACK"": 1, ""SENT OPEN"": 3, ""SL_CLAMPED OPEN"": 2}",False,False,541,0,0,0,0,1,1,1,0
55293817,SuperTrend::SuperTrend-p14x3-M15,BUY,1785964326.0,2026-08-05 21:12:06,1785972533.77,2026-08-05 23:28:53,8207.769999980927,REPLICA_TARDE,20.329999999999927,SL,2.0,1785964326.0,1785972533.77,534,OPEN_SKIPPED_SL_CROSSED,CLOSE,1785972304.725,16,"{""OPEN_SKIPPED_SL_CROSSED"": 12, ""SENT MODIFY"": 1, ""SENT OPEN"": 1, ""SL_CLAMPED"": 1, ""SL_CLAMPED OPEN"": 1}",False,False,507,0,20,0,1,2,2,2,0
55267286,SAR::S6-K2P0,BUY,1785782714.0,2026-08-03 18:45:14,1785776344.2699685,2026-08-03 16:59:04,-6369.730031490326,REPLICA_TEMPRANO,-1.1799999999998363,EXPERT,3.0,1785776344.2699685,1785782714.0,405,MODIFY,OPEN,1785776344.2699685,2,"{""SENT OPEN"": 2}",False,False,401,0,0,0,3,0,1,0,0
