tipo_fila,position_id,strategy_id,side,t_open_epoch,t_open_servidor,precio_open,motivo_cierre,ventana_inicio_epoch,ventana_fin_epoch,n_eventos_intervalo,tipo_dominante_intervalo,primer_evento_no_noop,t_primer_evento_no_noop,real_open_en_blocked_window,replica_open_en_blocked_window,eventos_NOOP,eventos_SPREAD_GATE_SKIP,eventos_OPEN_SKIPPED_SL_CROSSED,eventos_TIME_GATE_SKIP,eventos_MODIFY,eventos_SL_CLAMPED,eventos_OPEN,eventos_CLOSE,eventos_FALLBACK_CLOSE_INVALID_SL
REPLICA_SIN_PAREJA,,SAR::S6-K2P0,L,1785350705.0,2026-07-29 18:45:05,4081.81,SL,1785349805.0,1785351605.0,115,TIME_GATE_SKIP,TIME_GATE_SKIP,1785349813.809938,,False,56,0,0,57,1,0,1,0,0
REPLICA_SIN_PAREJA,,SAR::S6-K2P0,L,1785516907.289947,2026-07-31 16:55:07,4078.22,CLOSE_RECONCILER,1785516007.289947,1785517807.289947,115,SPREAD_GATE_SKIP,SPREAD_GATE_SKIP,1785516008.399948,,False,56,57,0,0,1,0,1,0,0
REPLICA_SIN_PAREJA,,SAR::S6-K2P0,L,1785960815.77,2026-08-05 20:13:35,4265.77,FALLBACK_CLOSE_INVALID_SL,1785959915.77,1785961715.77,75,CLOSE,MODIFY,1785960000.0,,False,55,0,3,0,3,3,5,5,1
REPLICA_SIN_PAREJA,,SAR::S6-K2P0,S,1786121714.619943,2026-08-07 16:55:14,4342.51,FALLBACK_CLOSE_INVALID_SL,1786120814.619943,1786122614.619943,115,SPREAD_GATE_SKIP,SPREAD_GATE_SKIP,1786120815.7299438,,False,56,57,0,0,1,0,1,0,0
REPLICA_SIN_PAREJA,,SAR::S6-K2P0,S,1786314599.0,2026-08-09 22:29:59,4330.7,SL,1786313699.0,1786315499.0,67,CLOSE,MODIFY,1786313700.0,,False,56,0,2,0,2,2,2,3,0
REAL,55333600,SAR::S6-K2P0,BUY,1786401327.0,2026-08-10 22:35:27,4425.42,SL,1786400427.0,1786402227.0,100,OPEN_SKIPPED_SL_CROSSED,MODIFY,1786401013.0,False,,86,0,10,0,1,0,1,2,0
REPLICA_SIN_PAREJA,,SuperTrend::SuperTrend-p14x3-M15,L,1785257948.7199554,2026-07-28 16:59:08,4030.88,SL,1785257048.7199554,1785258848.7199554,115,SPREAD_GATE_SKIP,SPREAD_GATE_SKIP,1785257049.8299563,,False,57,57,0,0,0,0,1,0,0
REPLICA_SIN_PAREJA,,SuperTrend::SuperTrend-p14x3-M15,S,1785277572.77,2026-07-28 22:26:12,4033.1,SL,1785276672.77,1785278472.77,146,OPEN_SKIPPED_SL_CROSSED,CLOSE,1785277437.789,,False,87,0,36,0,2,6,7,7,1
REPLICA_SIN_PAREJA,,SuperTrend::SuperTrend-p14x3-M15,L,1785776344.2699685,2026-08-03 16:59:04,4054.45,SL,1785775444.2699685,1785777244.2699685,115,SPREAD_GATE_SKIP,SPREAD_GATE_SKIP,1785775445.3799696,,False,56,57,0,0,1,0,1,0,0
REPLICA_SIN_PAREJA,,SuperTrend::SuperTrend-p14x3-M15,L,1785870032.0,2026-08-04 19:00:32,4073.52,SL,1785869132.0,1785870932.0,162,OPEN_SKIPPED_SL_CROSSED,CLOSE,1785870029.594,,False,60,0,92,0,1,3,3,3,0
REPLICA_SIN_PAREJA,,SuperTrend::SuperTrend-p14x3-M15,S,1785878038.77,2026-08-04 21:13:58,4084.14,SL,1785877138.77,1785878938.77,154,OPEN_SKIPPED_SL_CROSSED,CLOSE,1785877876.981,,False,72,0,65,0,1,4,6,5,1
REAL,55317670,SuperTrend::SuperTrend-p14x3-M15,BUY,1786301115.0,2026-08-09 18:45:15,4340.99,SL,1786300215.0,1786302015.0,115,SOLO_NOOP,,,False,,115,0,0,0,0,0,0,0,0
REAL,55318544,SuperTrend::SuperTrend-p14x3-M15,BUY,1786309634.0,2026-08-09 21:07:14,4326.55,SL,1786308734.0,1786310534.0,154,OPEN_SKIPPED_SL_CROSSED,CLOSE,1786309514.783,False,,84,0,49,0,2,5,7,7,0
REAL,55318552,SuperTrend::SuperTrend-p14x3-M15,BUY,1786309697.0,2026-08-09 21:08:17,4325.99,SL,1786308797.0,1786310597.0,154,OPEN_SKIPPED_SL_CROSSED,CLOSE,1786309514.783,False,,84,0,49,0,2,5,7,7,0
REAL,55321392,SuperTrend::SuperTrend-p14x3-M15,SELL,1786326044.0,2026-08-10 01:40:44,4343.24,SL,1786325144.0,1786326944.0,143,OPEN_SKIPPED_SL_CROSSED,CLOSE,1786326451.011,False,,83,0,56,0,0,1,1,2,0
